ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2015,16,17,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,17,1,1,5894.0,2,1,01/01,12/31
TWDB,2015,6,17,1,1,42288.0,2,1,01/01,12/31
TWDB,2015,7,17,1,1,33926.0,2,1,01/01,12/31
TWDB,2015,21,17,1,1,5999.0,2,1,01/01,12/31
TWDB,2015,22,17,1,1,197240.0,2,1,01/01,12/31
TWDB,2015,2,17,1,1,33151.0,2,1,01/01,12/31
TWDB,2015,23,17,1,1,90682.0,2,1,01/01,12/31
TWDB,2015,5,17,1,1,49825.0,2,1,01/01,12/31
TWDB,2015,19,17,1,1,16210.0,2,1,01/01,12/31
TWDB,2015,20,17,1,1,15814.0,2,1,01/01,12/31
TWDB,2015,10,17,1,1,418979.0,2,1,01/01,12/31
TWDB,2015,11,17,1,1,112472.0,2,1,01/01,12/31
TWDB,2015,3,17,1,1,25415.0,2,1,01/01,12/31
TWDB,2015,8,17,1,1,1146149.0,2,1,01/01,12/31
TWDB,2015,9,17,1,1,11414.0,2,1,01/01,12/31
TWDB,2015,12,18,1,1,21265.0,2,1,01/01,12/31
TWDB,2015,13,18,1,1,0.0,2,1,01/01,12/31
TWDB,2015,9999,18,1,1,2545.0,2,1,01/01,12/31
TWDB,2015,14,18,1,1,21327.0,2,1,01/01,12/31
TWDB,2015,15,18,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,18,1,1,0.0,2,1,01/01,12/31
TWDB,2015,18,18,1,1,1347.0,2,1,01/01,12/31
TWDB,2015,16,18,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,18,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,18,1,1,10.0,2,1,01/01,12/31
TWDB,2015,7,18,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,18,1,1,1702.0,2,1,01/01,12/31
TWDB,2015,22,18,1,1,10185.0,2,1,01/01,12/31
TWDB,2015,2,18,1,1,456.0,2,1,01/01,12/31
TWDB,2015,23,18,1,1,10378.0,2,1,01/01,12/31
TWDB,2015,5,18,1,1,129.0,2,1,01/01,12/31
TWDB,2015,19,18,1,1,35925.0,2,1,01/01,12/31
TWDB,2015,20,18,1,1,307.0,2,1,01/01,12/31
TWDB,2015,10,18,1,1,2512.0,2,1,01/01,12/31
TWDB,2015,11,18,1,1,4985.0,2,1,01/01,12/31
TWDB,2015,3,18,1,1,2.0,2,1,01/01,12/31
TWDB,2015,8,18,1,1,2783.0,2,1,01/01,12/31
TWDB,2015,9,18,1,1,0.0,2,1,01/01,12/31
TWDB,2015,12,13,1,1,8886.0,2,1,01/01,12/31
TWDB,2015,13,13,1,1,814.0,2,1,01/01,12/31
TWDB,2015,9999,13,1,1,25577.0,2,1,01/01,12/31
TWDB,2015,14,13,1,1,5801.0,2,1,01/01,12/31
TWDB,2015,15,13,1,1,1479.0,2,1,01/01,12/31
TWDB,2015,4,13,1,1,42.0,2,1,01/01,12/31
TWDB,2015,18,13,1,1,7163.0,2,1,01/01,12/31
TWDB,2015,16,13,1,1,1468.0,2,1,01/01,12/31
TWDB,2015,17,13,1,1,17.0,2,1,01/01,12/31
TWDB,2015,6,13,1,1,48698.0,2,1,01/01,12/31
TWDB,2015,7,13,1,1,102.0,2,1,01/01,12/31
TWDB,2015,21,13,1,1,2121.0,2,1,01/01,12/31
TWDB,2015,22,13,1,1,3358.0,2,1,01/01,12/31
TWDB,2015,2,13,1,1,11293.0,2,1,01/01,12/31
